Architecture,Layers,Neurons,Paper_4Class_Train,Our_3Species_Train,Paper_4Class_Test,Our_3Species_Test,Test_Accuracy_Diff
Logistic Regression,0,0,0.767,0.6989047527313232,0.7684,0.6964444518089294,-0.07195554819107053
MLP 1 Layer (500N),1,500,0.911,0.8806666731834412,0.9065,0.8740000128746033,-0.0324999871253967
MLP 2 Layers (300N),2,300,0.9575,0.9611428380012512,0.9436,0.9191111326217652,-0.024488867378234747
MLP 3 Layers (500N),3,500,0.9863,0.9945714473724364,0.9654,0.9475555419921876,-0.017844458007812425
MLP 4 Layers (100N),4,100,0.9662,0.9592857360839844,0.9528,0.9167777895927428,-0.03602221040725717
MLP 4 Layers (150N),4,150,0.9775,0.9823809266090392,0.9607,0.938444435596466,-0.022255564403534045
MLP 4 Layers (300N),4,300,0.9795,0.9948095083236694,0.9602,0.9497777819633484,-0.010422218036651665
MLP 5 Layers (50N),5,50,0.955,0.9235714077949524,0.9454,0.902222216129303,-0.04317778387069704
MLP 5 Layers (150N),5,150,0.981,0.9863333106040956,0.9632,0.9402222037315368,-0.02297779626846319
MLP 5 Layers (300N),5,300,0.9873,0.9895238280296326,0.9684,0.9421111345291138,-0.02628886547088627
