Model_ID,Architecture_Type,Hidden_Layers,Neurons_Per_Layer,Total_Parameters,Train_Accuracy,Test_Accuracy,Training_Time_Sec
Logistic_Baseline,Logistic,0,0,33,0.6989047527313232,0.6964444518089294,3.25812029838562
MLP_1L_5N,MLP,1,5,73,0.7971904873847961,0.8027777671813965,3.785836696624756
MLP_1L_10N,MLP,1,10,143,0.8102856874465942,0.8113333582878113,3.8376429080963135
MLP_1L_20N,MLP,1,20,283,0.8236666917800903,0.8298888802528381,4.005597829818726
MLP_1L_50N,MLP,1,50,703,0.8414285778999329,0.8408889174461365,4.118582010269165
MLP_1L_100N,MLP,1,100,1403,0.8530952334403992,0.85188889503479,4.296102285385132
MLP_1L_150N,MLP,1,150,2103,0.8583809733390808,0.8601111173629761,4.158889055252075
MLP_1L_300N,MLP,1,300,4203,0.8700476288795471,0.8661110997200012,4.53902792930603
MLP_1L_500N,MLP,1,500,7003,0.8806666731834412,0.8740000128746033,4.677119255065918
MLP_2L_5N,MLP,2,5,103,0.8020952343940735,0.8094444274902344,4.299546241760254
MLP_2L_10N,MLP,2,10,253,0.8217142820358276,0.8236666917800903,4.373776912689209
MLP_2L_20N,MLP,2,20,703,0.8510476350784302,0.85188889503479,4.590526819229126
MLP_2L_50N,MLP,2,50,3253,0.8773809671401978,0.8701111078262329,4.97143292427063
MLP_2L_100N,MLP,2,100,11503,0.8991904854774475,0.8859999775886536,5.29990816116333
MLP_2L_150N,MLP,2,150,24753,0.9246666431427002,0.9020000100135803,5.4315409660339355
MLP_2L_300N,MLP,2,300,94503,0.9611428380012512,0.9191111326217651,7.46257209777832
MLP_2L_500N,MLP,2,500,257503,0.9791428446769714,0.9316666722297668,9.083514213562012
MLP_3L_5N,MLP,3,5,133,0.8052856922149658,0.8091111183166504,4.861393213272095
MLP_3L_10N,MLP,3,10,363,0.8300952315330505,0.8311111330986023,4.906462907791138
MLP_3L_20N,MLP,3,20,1123,0.864047646522522,0.8636666536331177,5.134790897369385
MLP_3L_50N,MLP,3,50,5803,0.9064761996269226,0.8923333287239075,5.7858240604400635
MLP_3L_100N,MLP,3,100,21603,0.9381428360939026,0.9095555543899536,6.334444046020508
MLP_3L_150N,MLP,3,150,47403,0.96147620677948,0.918666660785675,6.725539922714233
MLP_3L_300N,MLP,3,300,184803,0.9885237812995911,0.937333345413208,10.386306047439575
MLP_3L_500N,MLP,3,500,508003,0.9945714473724365,0.9475555419921875,13.680584907531738
MLP_4L_5N,MLP,4,5,163,0.807190477848053,0.809333324432373,5.2871339321136475
MLP_4L_10N,MLP,4,10,473,0.8344285488128662,0.8338888883590698,5.421534776687622
MLP_4L_20N,MLP,4,20,1543,0.8712857365608215,0.8682222366333008,5.674475908279419
MLP_4L_50N,MLP,4,50,8353,0.9253333210945129,0.9015555381774902,6.660475254058838
MLP_4L_100N,MLP,4,100,31703,0.9592857360839844,0.9167777895927429,7.391473293304443
MLP_4L_150N,MLP,4,150,70053,0.9823809266090393,0.9384444355964661,8.024197340011597
MLP_4L_300N,MLP,4,300,275103,0.9948095083236694,0.9497777819633484,13.295053005218506
MLP_4L_500N,MLP,4,500,758503,0.989809513092041,0.9452221989631653,18.07942295074463
MLP_5L_5N,MLP,5,5,193,0.7932857275009155,0.792888879776001,5.801010847091675
MLP_5L_10N,MLP,5,10,583,0.8324285745620728,0.8363333344459534,5.955358028411865
MLP_5L_20N,MLP,5,20,1963,0.8625237941741943,0.8583333492279053,6.323691129684448
MLP_5L_50N,MLP,5,50,10903,0.9235714077949524,0.902222216129303,7.527206897735596
MLP_5L_100N,MLP,5,100,41803,0.9736190438270569,0.9316666722297668,8.421495199203491
MLP_5L_150N,MLP,5,150,92703,0.9863333106040955,0.9402222037315369,9.287346363067627
MLP_5L_300N,MLP,5,300,365403,0.9895238280296326,0.9421111345291138,16.202982187271118
MLP_5L_500N,MLP,5,500,1009003,0.9847142696380615,0.9398888945579529,22.785802841186523
