Band,Band_Name,F_Statistic,p_value,Significant (p < 0.05),Rhizophora_mangle_mean,Avicennia_germinans_mean,Laguncularia_racemosa_mean,Rhizophora_mangle_std,Avicennia_germinans_std,Laguncularia_racemosa_std
Band_2,Blue (490 nm),394.1405517710404,1.0899120550806253e-169,True,0.08970543,0.08885473999999999,0.09020932,0.005442607804451035,0.0014690675097948475,0.001974416615027581
Band_3,Green (560 nm),1712.3054128873819,0.0,True,0.08367239000000001,0.08088512999999999,0.08465908999999999,0.007255444358217043,0.002623213679458997,0.002755882229084918
Band_4,Red (665 nm),436.80496131331194,1.0183479766162962e-187,True,0.0509385,0.04935224999999999,0.05128997999999999,0.007635468930496598,0.0023820882376472106,0.003036747895920624
Band_5,Red Edge 1 (705 nm),121.95021652994456,1.785860511545207e-53,True,0.08445312,0.08563368999999998,0.09053947000000001,0.029744056299605734,0.02601812449551517,0.03163916305440108
Band_6,Red Edge 2 (740 nm),1556.1045332826052,0.0,True,0.17678594000000003,0.18661738,0.20206323,0.03887376186134454,0.02469860939539323,0.031764361136829795
Band_7,Red Edge 3 (783 nm),1760.2781035968503,0.0,True,0.21969337,0.23530664,0.25183349999999993,0.04722164340007281,0.029281876660154044,0.036264519068703066
Band_8,NIR Broad (842 nm),1737.0110163569066,0.0,True,0.24888744000000002,0.22635397000000002,0.25192715000000004,0.05008728053921056,0.02050848643953776,0.02100844833317389
Band_8A,NIR Narrow (865 nm),2039.0057060393408,0.0,True,0.24008139,0.25927377,0.2803323300000001,0.05492363206493012,0.03455172156540703,0.04187049168063898
Band_11,SWIR 1 (1610 nm),1076.6334284141685,0.0,True,0.07821156000000001,0.09676415,0.09626480000000001,0.032398563626477424,0.03130217695953016,0.03292057562361173
Band_12,SWIR 2 (2190 nm),305.5477975537664,4.3236261950722084e-132,True,0.03333624,0.042106290000000005,0.04016234,0.025274590385490233,0.025797839217398203,0.02790376124671316
