,,Avicennia_germinans,Laguncularia_racemosa,Rhizophora_mangle
Band_2,mean,0.08885474,0.09020932,0.08970543
Band_2,std,0.0014690675097948475,0.001974416615027578,0.005442607804451035
Band_3,mean,0.08088513,0.08465909,0.08367239
Band_3,std,0.0026232136794589987,0.0027558822290849163,0.007255444358217042
Band_4,mean,0.04935225,0.051289980000000006,0.0509385
Band_4,std,0.0023820882376472097,0.003036747895920619,0.007635468930496581
Band_5,mean,0.08563369,0.09053947,0.08445312
Band_5,std,0.02601812449551519,0.03163916305440111,0.029744056299605717
Band_6,mean,0.18661738,0.20206323,0.17678594
Band_6,std,0.024698609395393232,0.03176436113682979,0.038873761861344516
Band_7,mean,0.23530664,0.2518335,0.21969337
Band_7,std,0.029281876660154017,0.036264519068703045,0.04722164340007268
Band_8,mean,0.22635397,0.25192715,0.24888744000000002
Band_8,std,0.02050848643953772,0.02100844833317388,0.05008728053921052
Band_8A,mean,0.25927377,0.28033233,0.24008139
Band_8A,std,0.034551721565407124,0.04187049168063899,0.05492363206492994
Band_11,mean,0.09676415,0.0962648,0.07821156
Band_11,std,0.03130217695953023,0.03292057562361174,0.0323985636264775
Band_12,mean,0.042106290000000005,0.04016234,0.033336239999999996
Band_12,std,0.025797839217398134,0.027903761246713166,0.025274590385490243
